Cepheid ID,Galaxy_ID,Period,Apparent Magnitude,Absolute Magnitude,Distance in parsecs
XYZ819204,NGC4379,5.726729944035561,30.22226080998781,-0.8734982830991547,16563488.809085308
XYZ589831,PGC039619,8.13036942080828,30.06014561759057,-1.139879282167825,17378207.55813003
XYZ327693,PGC043108,3.6157391800895335,30.32689882824469,-0.5239740044795396,14797030.416841147
XYZ688142,NGC4621,5.612137381645422,30.468379421126023,-0.8581346389886895,18420559.281325493
XYZ425999,PGC040411,7.008517777794178,30.34922081987885,-1.027021625119401,18847271.598521624
XYZ851996,PGC042001,5.186876402698904,30.297957264625985,-0.7982398857596158,16566830.545799725
XYZ262173,PGC039264,10.122918704747176,29.889317826329155,-1.306486829311713,17344465.910829984
XYZ884772,PGC1620526,4.643756484650104,30.33728918323021,-0.7141682689262743,16228989.917102419
XYZ491558,NGC4497,11.263578903930702,29.550287330586983,-1.3876430162320332,15402317.420738906
XYZ294960,PGC039561,3.778927803283959,30.855955692750616,-0.5575272450507855,19173287.635779224
XYZ262202,NGC4259,5.813961900629799,30.29758386370318,-0.8849889367709003,17239098.856149323
XYZ950335,NGC4440,4.4205424484813305,30.34033710141339,-0.6767255146733644,15973957.4483146
XYZ131148,SDSSJ122243.57+052723.0,15.33525130670512,29.448347988926773,-1.6221901616148873,16372222.198159799
XYZ983118,PGC041571,4.386985429173922,30.450026751034912,-0.6709335734229867,16756837.762232108
XYZ917590,PGC039153,6.741405084640116,30.429482323174728,-0.9974863105248566,19292731.790550534
XYZ491611,PGC042982,16.34085092988078,29.465968510391853,-1.6704662443684926,16876677.48081013
XYZ884829,PGC040869,10.695805254560824,29.653653962616666,-1.348329256689519,15863413.465102723
XYZ983141,DDO156,4.564881292470117,30.66162086272972,-0.7011471484728893,18730682.498026833
XYZ163944,NGC4200,4.191319326492052,30.5157825194677,-0.6362533287676533,16998365.75102122
XYZ360555,PGC043698,7.917353561627564,29.972804000295465,-1.1196994884022633,16538674.418803612
